,count,mean,std,min,25%,50%,75%,max
cj1,532956.0,69.23938749165035,12.602945154906351,1.0,62.0,71.0,78.0,100.0
cj2,74437.0,76.75387240216558,13.233194591343985,1.0,69.0,81.0,87.0,97.0
cj3,73405.0,59.46841495810912,27.257660998384164,2.0,33.0,63.0,86.0,100.0
cj4,534058.0,77.17505214789405,20.820950021997476,2.0,64.0,84.0,94.0,100.0
cj5,531980.0,72.62908943945261,21.265566114355888,2.0,58.0,78.0,90.0,100.0
cj6,63288.0,55.420316647705725,28.1255809937773,1.0,28.0,52.0,85.0,100.0
cj7,538014.0,68.29227306352622,14.690584469447877,2.0,60.0,70.0,79.0,100.0
cj8,538367.0,75.1763090976973,13.634429506748443,2.0,68.0,78.0,86.0,100.0
cj9,534975.0,68.88996495163326,22.585728918644037,1.0,52.0,74.0,88.0,100.0
cj10,533525.0,80.03581462911767,14.719448193832404,2.0,71.0,83.0,92.0,100.0
